Папка:
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы
;Файлов :;194
;Страниц :;373
;Слов:;179192
""
Файл;Страниц;Слов
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.106.pdf;2;1173
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.108.pdf;2;1342
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.110.pdf;2;981
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.112.pdf;2;1418
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.114.pdf;2;872
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.116.pdf;2;781
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.118.pdf;2;857
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.12.pdf;2;735
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.120.pdf;2;755
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.122.pdf;2;861
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.124.pdf;2;841
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.126.pdf;2;1178
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.128.pdf;2;712
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.130.pdf;2;780
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.132.pdf;2;988
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.134.pdf;2;966
C:/Users/ORB User/Desktop/docker/Новая папка/Новая папка (3)/Новая папка/999/оригиналы/383 — копия.pdf - стр.136.pdf;2;1087
